Time (iso),RA (GCRS) [deg],Dec (GCRS) [deg],Distance (GCRS) [km]
2024-09-11 12:56:00.000,152.56323570501405,-81.22632662824206,7071.0656477359225
2024-09-11 12:57:00.000,133.3464252452227,-79.46752111026521,7070.737533755567
2024-09-11 12:58:00.000,120.53636456288125,-76.91157643012639,7070.424316635573
2024-09-11 12:59:00.000,112.11430616353464,-73.9343110914945,7070.126595035769
2024-09-11 13:00:00.000,106.34584776950226,-70.72982982112036,7069.844623231813
2024-09-11 13:01:00.000,102.19589534812525,-67.39438820969329,7069.578325229666
2024-09-11 13:02:00.000,99.0750432655668,-63.97815797015024,7069.327314551108
2024-09-11 13:03:00.000,96.63852368759726,-60.50908710161395,7069.0909193056805
2024-09-11 13:04:00.000,94.67575634645745,-57.00374502615954,7068.868212076803
2024-09-11 13:05:00.000,93.05238829730902,-53.47249991507157,7068.658044069595
2024-09-11 13:06:00.000,91.67922674021136,-49.92214208328525,7068.459082766926
2024-09-11 13:07:00.000,90.49494477719105,-46.35730458835912,7068.269853194824
2024-09-11 13:08:00.000,89.45604565542469,-42.781247513721745,7068.088780081876
2024-09-11 13:09:00.000,88.53082182162848,-39.196340400596966,7067.914232804095
2024-09-11 13:10:00.000,87.69558033383241,-35.604351263483075,7067.744570301707
2024-09-11 13:11:00.000,86.93221071401099,-32.006632491771505,7067.578185972576
2024-09-11 13:12:00.000,86.22657134073054,-28.40424317061612,7067.413551597918
2024-09-11 13:13:00.000,85.56739004841664,-24.798031837359463,7067.249259508046
2024-09-11 13:14:00.000,84.94549611765923,-21.188693927108215,7067.08406222501
2024-09-11 13:15:00.000,84.35327056726005,-17.576812640174303,7066.916908860657
2024-09-11 13:16:00.000,83.78424282524158,-13.962888742186141,7066.746977602922
2024-09-11 13:17:00.000,83.23278677705432,-10.347362875497481,7066.573703689083
2024-09-11 13:18:00.000,82.69388423156003,-6.730630349848726,7066.396802220927
2024-09-11 13:19:00.000,82.16293600923964,-3.1130646204500882,7066.216286099229
2024-09-11 13:20:00.000,81.63559937479363,0.5049857331213414,7066.032476945567
2024-09-11 13:21:00.000,81.10764687928277,4.12317711117827,7065.846011137532
2024-09-11 13:22:00.000,80.57483115727149,7.7411637080243665,7065.65783904207
